lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3938223.003,DA8LP017SEE3,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-07-11 20:51:59,336.3075000000000045474735088646411895751953125
3846963.003,WBDZP019ESH2,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-01-27 22:46:17,100
3797173.003,CV6BH103SEA1,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2018-10-25 21:55:00,100
3906873.003,CZ5AP058SEH0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-05-16 22:49:51,2
3934383.003,PQRVT147MXD2,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-07-04 11:36:44,100
3954993.003,PQYHS030MXH0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-08-12 03:46:14,2
3807933.003,CX7EQ398SEB1,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2018-11-17 07:53:57,100
3836873.083,POMVU105MXE1,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-01-25 00:18:05,100
3910543.003,CY1PT190SEG6,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-05-23 03:12:58,100
3865083.003,POOYN076MXG5,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-03-04 04:33:26,100
3879773.033,CU4SZ085SED3,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-03-29 03:43:43,100
3782343.053,CU4KY367SEF3,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-10-05 20:30:20,100
3947573.003,DC1HQ058SEC3,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-07-27 17:33:04,336.52766666666701667054439894855022430419921875
3868623.003,CX8GQ257SEC3,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-03-08 01:13:39,333.34283333333297605349798686802387237548828125
3919683.003,DA8LR169SEF6,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-06-07 15:43:59,336.7511666666670180347864516079425811767578125
3919683.003,DA8LR169SEF6,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-06-07 15:43:59,100
3832873.003,CX7EQ304SEC5,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-01-04 19:18:29,100
3902773.003,CZ4KZ179SEH0,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-05-08 10:18:33,100
3845053.003,KC9YW337WFD7,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-01-26 14:17:26,334.06925000000001091393642127513885498046875
3902053.003,CZ5JK004SEA0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-05-07 16:09:15,2
3817693.003,CX6XK218SEE1,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-12-05 20:59:27,100
3807913.003,CU4SZ068SEH1,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2018-11-16 02:20:03,335.50249999999999772626324556767940521240234375
3883163.003,CU4KY005SEC0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-04-03 19:01:58,100
3927753.003,DF9FR282SEG1,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-06-22 11:42:24,334.695833333332984693697653710842132568359375
3823603.003,KC9YW092WFE7,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2018-12-16 13:58:58,335.67483333333302653045393526554107666015625
3871303.003,CX8GQ370SEC7,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-03-16 00:12:12,100
3969803.003,DJ2AQ293SEC1,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-09-07 06:10:47,337.8910833333329719607718288898468017578125
3961813.003,DF4DL287SEC3,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-09-05 03:09:51,4
3870923.003,CY1FX038SEA7,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-03-13 00:18:57,100
3803923.003,CU4SZ137SED2,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2018-11-07 21:41:19,100
3860583.003,WBF2K065ESF2,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-02-21 01:59:38,100
3832883.003,CX7EQ076SEB0,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-01-02 03:47:46,336.7454999999999927240423858165740966796875
3814503.003,CX7QZ168SEG5,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-11-29 21:30:18,100
3796493.003,CV6BH228SEA0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2018-10-24 03:12:14,2
3930473.003,DF9ZL205SED6,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-06-26 17:00:42,100
3832853.003,CX7EQ051SEA2,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-01-02 12:09:59,337.182000000000016370904631912708282470703125
3974573.003,DH8QG297SEA3,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-09-12 22:22:57,335.4263333333329910601605661213397979736328125
3899363.003,CU4KY192SEG6,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-05-01 19:34:25,333.59391666666698483822983689606189727783203125
3899363.003,CU4KY192SEG6,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-05-01 19:34:25,100
3870963.003,CY1FX357SED0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-03-13 08:51:02,100
3823613.003,KC9YU252WFG4,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2018-12-16 11:41:20,100
3848623.003,WBDZN055ESA1,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-01-30 10:44:52,332.824166666666997116408310830593109130859375
3868633.003,CX8GQ279SEF1,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-03-07 23:12:58,100
3814473.003,CX7QZ294SEC2,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2018-12-02 08:06:02,2
3886553.003,WCD9P090ESC1,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-04-10 05:21:53,336.23624999999998408384271897375583648681640625
3858543.003,CX5XL052SEE2,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-02-17 02:29:47,333.39749999999997953636921010911464691162109375
3807933.003,CX7EQ398SEB1,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-11-17 07:53:57,100
