lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3793663.0H3,CU4SZ294SEB7,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S2_JPCT,2018-11-02 00:59:47,100
3807913.003,CU4SZ071SEE0,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2018-11-26 17:13:19,0.994526000000000021117330106790177524089813232421875
3789543.003,CV5PP338SEC4,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2018-10-25 11:54:30,191.032555555556001536388066597282886505126953125
3778493.003,CK3CL051SED6,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2018-10-05 22:45:38,0.99419877777777798666392072846065275371074676513671875
3894873.003,M75HW086WAH2,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2019-05-12 03:32:25,675.8970000000000482032191939651966094970703125
3927753.003,DF9FR282SEG1,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S1_JPCT,2019-07-05 06:39:56,100
3817683.003,CX6XK123SED0,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2018-12-17 11:38:42,191.155444444443986640180810354650020599365234375
3788273.013,CU4SZ221SEB7,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2018-10-22 20:45:07,655.8953333333330419918638654053211212158203125
3878933.003,CS1UT119SEA3,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2019-04-15 08:21:05,0.99434788888888903102269978262484073638916015625
3863493.003,KCLFT016WFA2,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2019-03-06 09:11:55,667.0827777777780056567280553281307220458984375
3803913.003,CV5PP153SEG6,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2018-11-21 19:40:07,665.320555555555984028615057468414306640625
3789553.003,CV6BG057SED2,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2018-10-24 02:32:29,192.089444444444012560779810883104801177978515625
3935903.023,PQPJL189MXB6,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2019-07-25 07:37:36,191.119777777778011795817292295396327972412109375
3922843.003,DE9WB333SEC2,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2019-06-27 22:57:03,668.4824444444440132429008372128009796142578125
3899323.013,CU4KY225SEB7,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2019-05-16 17:41:54,0.99406355555555503400455563678406178951263427734375
3811723.003,KCGHD123WFD7,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2018-12-02 01:20:33,191.8129999999999881765688769519329071044921875
3832853.003,CX7EQ054SEF5,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2019-01-20 11:57:22,192.102444444443989368664915673434734344482421875
3823613.003,KC9YU252WFG4,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2018-12-28 01:52:18,670.1008888888890169255319051444530487060546875
3823593.003,KC9YU353WFC4,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2018-12-27 10:14:36,0.99426833333333297648692905568168498575687408447265625
3845053.003,KC9YW337WFD7,1230-53 SPACER NITRIDE DRY STRIP THK,WAFERS_MEASURED_JCNT,2019-02-07 20:07:54,2
3817653.003,CX6XK160SEA7,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2018-12-17 11:56:24,0.99439455555555600341222088900394737720489501953125
3805113.003,CU4SZ113SEG6,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S1_JPCT,2018-11-21 10:28:36,100
3927743.003,DF9FR225SEG5,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2019-07-06 05:07:30,0.9942215555555560246858703976613469421863555908203125
3848043.003,WAX1T129ESA3,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2019-02-18 08:31:43,669.7104444444439650396816432476043701171875
3899323.013,CU4KY225SEB7,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2019-05-16 17:41:54,188.23977777777798792158137075603008270263671875
3860583.003,WBF2K065ESF2,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S1_JPCT,2019-03-07 19:52:24,100
3807903.003,CX7EQ246SEA4,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2018-11-27 13:40:07,188.4097777777780038377386517822742462158203125
3811693.003,M70GU009WAA3,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2018-12-10 20:12:58,188.53266666666701212307089008390903472900390625
3789533.003,CV5PP322SEC0,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2018-10-22 14:17:22,0.99410133333333294824996073657530359923839569091796875
3817653.003,CX6XK163SEG2,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S2_JPCT,2018-12-17 11:56:24,100
3836423.003,CX6KB218SEG0,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S1_JPCT,2019-01-21 16:42:04,100
3786093.003,CV6LR090SED4,1230-53 SPACER NITRIDE DRY STRIP THK,THK_NITRIDE_PASS,2018-10-16 05:10:42,672.98199999999997089616954326629638671875
3788263.003,CV5PP368SEB2,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S1_JPCT,2018-10-21 23:15:57,100
3863493.003,KCLFT126WFD7,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S2_JPCT,2019-03-06 09:11:55,100
3789553.003,CV6BG057SED2,1230-53 SPACER NITRIDE DRY STRIP THK,GOF,2018-10-24 02:32:29,0.99368533333333297630218794438405893743038177490234375
3776603.003,CK3CL243SEG0,1230-53 SPACER NITRIDE DRY STRIP THK,DELTA_THK_NITRIDE_PASS,2018-10-01 03:47:03,191.080555555556003355377470143139362335205078125
3860693.013,WBDZN149ESE3,1230-53 SPACER NITRIDE DRY STRIP THK,WAFERS_MEASURED_JCNT,2019-03-07 08:32:43,1
3801623.003,POJMZ014MXE0,1230-53 SPACER NITRIDE DRY STRIP THK,WAFERS_MEASURED_JPCT,2018-11-13 11:52:33,100
3899323.013,CU4KY225SEB7,1230-53 SPACER NITRIDE DRY STRIP THK,POINTS_VALID_S1_JPCT,2019-05-16 17:41:54,100
