lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3919683.003,DA8LR159SEB2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-09-15 10:23:25,2
3817673.003,CX6XK250SEC7,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-02-26 03:16:00,100
3942203.003,DA8LR060SEF2,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-09-18 08:49:00,0.9903364999999999529478600379661656916141510009765625
3796493.0F3,CV6BH231SEE2,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-01-14 07:12:59,0
3840503.003,POOYO072MXE6,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-04-15 03:20:14,0
3793673.003,CV5PP032SEB6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-01-16 08:14:37,2
3868623.003,CX8GQ257SEC3,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-05-26 16:38:25,0.92811833333333304540957442441140301525592803955078125
3801613.003,POJSI115MXE2,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-02-22 04:57:34,0.46567225000000000978417347141657955944538116455078125
3797173.003,CV6BH106SEF4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-24 04:25:29,0.451718000000000008409273277720785699784755706787109375
3750993.003,CJ1BU226SEG1,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-24 22:54:18,0.9589763333333329864416327836806885898113250732421875
3778493.003,CK3CL055SEG0,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-12-10 00:37:57,0.96260541666666699089915937292971648275852203369140625
3743683.0G3,CH0XX007SEB4,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-10-16 16:10:47,2
3786093.003,CV6LR090SED4,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-12-19 21:12:38,0.67036324999999996610000607688562013208866119384765625
3807923.003,CX7EQ191SEC5,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-02-22 03:19:36,100
3832863.0K3,CX7EQ197SEG0,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-04-28 19:15:55,100
3853443.053,WBF2K075ESC3,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-06-06 23:53:02,0
